幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,27.38000,27.70500,27.71900,27.71700,27.70900,27.69900,27.68700,27.67400,27.65600,本行賣出,28.05000,27.85500,27.82800,27.82600,27.82500,27.82400,27.82300,27.81800,27.80900,
HKD,本行買入,3.40500,3.52600,3.53000,3.52900,3.52900,3.52900,3.52800,3.52800,3.52700,本行賣出,3.60900,3.59600,3.59000,3.59100,3.59100,3.59100,3.59200,3.59200,3.59300,
GBP,本行買入,35.61000,36.50500,36.78600,36.79800,36.79500,36.79100,36.77400,36.75700,36.73900,本行賣出,37.73000,37.13500,37.19500,37.22500,37.22600,37.21800,37.21400,37.21000,37.20600,
AUD,本行買入,19.41000,19.62500,19.78100,19.78400,19.78500,19.78500,19.78100,19.77600,19.77100,本行賣出,20.19000,19.97000,19.98600,19.99800,19.99900,19.99900,20.00200,20.00500,20.00700,
CAD,本行買入,21.05000,21.38000,21.62000,21.62000,21.62000,21.61800,21.60800,21.59700,21.58700,本行賣出,21.96000,21.71000,21.82700,21.84000,21.84000,21.83700,21.83500,21.83200,21.83000,
SGD,本行買入,19.74000,20.21000,20.25800,20.25300,20.25000,20.24700,20.24100,20.23400,20.22700,本行賣出,20.65000,20.43000,20.44200,20.44600,20.44300,20.44000,20.44000,20.44100,20.44100,
CHF,本行買入,29.26000,29.87000,30.08200,30.10500,30.12900,30.15100,30.17000,30.18900,30.20800,本行賣出,30.46000,30.26000,30.33900,30.37700,30.40100,30.42300,30.45300,30.48400,30.51500,
JPY,本行買入,0.23520,0.24200,0.24240,0.24240,0.24250,0.24250,0.24250,0.24250,0.24250,本行賣出,0.24800,0.24700,0.24650,0.24670,0.24670,0.24670,0.24680,0.24690,0.24700,
ZAR,本行買入,0.00000,1.70500,1.70200,1.69600,1.68900,1.68300,1.67500,1.66800,1.66100,本行賣出,0.00000,1.79500,1.78300,1.77800,1.77100,1.76500,1.75800,1.75200,1.74500,
SEK,本行買入,2.66000,2.99000,3.03100,3.03300,3.03400,3.03500,3.03500,3.03500,3.03500,本行賣出,3.18000,3.11000,3.13200,3.13700,3.13700,3.13800,3.13900,3.14000,3.14200,
NZD,本行買入,18.25000,18.58000,18.70400,18.69300,18.68500,18.67400,18.65400,18.63300,18.61300,本行賣出,19.10000,18.88000,18.91200,18.91600,18.90900,18.89900,18.88500,18.87100,18.85700,
THB,本行買入,0.70600,0.81540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89600,0.86140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.48350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.61650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,30.42000,30.93500,31.24700,31.26200,31.27800,31.28900,31.29600,31.30400,31.31100,本行賣出,31.76000,31.53500,31.65600,31.68700,31.70600,31.72300,31.74500,31.76700,31.78800,
KRW,本行買入,0.02165,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02555,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.57200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.05200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.25400,4.32100,4.32250,4.31360,4.30200,4.29240,4.27990,4.26740,4.25490,本行賣出,4.41600,4.38100,4.37460,4.36970,4.36070,4.35310,4.34460,4.33620,4.32770,
